MODCOD,RS,CONV,GP,TP,SPECT,THR
"MSK [255,223] 1/2",[223255],1/2,10723.6764705882,24525,0.428947058823529,1.23945590590452
"gMSK [255,223] 1/2",[223255],1/2,13301.2941176471,30420,0.532051764705882,1.67945590590452
"MSK [255,239] 1/2",[239255],1/2,11493.0882352941,24525,0.459723529411765,1.83932975497582
"gMSK [255,239] 1/2",[239255],1/2,14255.6470588235,30420,0.570225882352941,2.27932975497582
"MSK [255,223] 2/3",[223255],2/3,14298.2352941176,24525,0.571929411764706,3.2577979766995
"gMSK [255,223] 2/3",[223255],2/3,17735.0588235294,30420,0.709402352941176,3.6977979766995
"MSK [255,239] 2/3",[239255],2/3,15324.1176470588,24525,0.612964705882353,3.92081730362951
"2FSK [255,223] 1/2",[223255],1/2,5361.61960784314,12262,0.214464784313726,4.31002271486241
"gMSK [255,239] 2/3",[239255],2/3,19007.5294117647,30420,0.760301176470588,4.36081730362951
"g2FSK [255,223] 1/2",[223255],1/2,9239.19607843137,21130,0.369567843137255,4.75002271486241
"2FSK [255,239] 1/2",[239255],1/2,5746.30980392157,12262,0.229852392156863,4.83380042401493
"g2FSK [255,239] 1/2",[239255],1/2,9902.09803921569,21130,0.396083921568627,5.27380042401493
"4FSK [255,223] 1/2",[223255],1/2,5120.25490196078,11710,0.204810196078431,6.03434994218966
"2FSK [255,223] 2/3",[223255],2/3,7148.82614379085,12262,0.285953045751634,6.33208732278132
"g4FSK [255,223] 1/2",[223255],1/2,16615.6862745098,38000,0.664627450980392,6.47434994218966
"4FSK [255,239] 1/2",[239255],1/2,5487.62745098039,11710,0.219505098039216,6.71202213183138
"g2FSK [255,223] 2/3",[223255],2/3,12318.9281045752,21130,0.492757124183006,6.77208732278133
"2FSK [255,239] 2/3",[239255],2/3,7661.74640522876,12262,0.30646985620915,6.94889876554615
"g4FSK [255,239] 1/2",[239255],1/2,17807.8431372549,38000,0.712313725490196,7.15202213183138
"g2FSK [255,239] 2/3",[239255],2/3,13202.7973856209,21130,0.528111895424837,7.38889876554615
"4FSK [255,223] 2/3",[223255],2/3,6827.00653594771,11710,0.273080261437908,7.78580643297552
"MSK [255,223] 7/8",[223255],7/8,18766.4338235294,24525,0.750657352941176,7.98077717213992
"g4FSK [255,223] 2/3",[223255],2/3,22154.2483660131,38000,0.886169934640523,8.22580643297552
"MSK [255,223] 3/4",[223255],3/4,16085.5147058824,24525,0.643420588235294,8.27980546922046
"gMSK [255,223] 7/8",[223255],7/8,23277.2647058823,30420,0.931090588235294,8.42077717213992
"MSK [255,239] 3/4",[239255],3/4,17239.6323529412,24525,0.689585294117647,8.42597026475656
"4FSK [255,239] 2/3",[239255],2/3,7316.83660130719,11710,0.292673464052288,8.57603244541895
"gMSK [255,223] 3/4",[223255],3/4,19951.9411764706,30420,0.798077647058823,8.71980546922046
"gMSK [255,239] 3/4",[239255],3/4,21383.4705882353,30420,0.855338823529412,8.86597026475656
"g4FSK [255,239] 2/3",[239255],2/3,23743.7908496732,38000,0.949751633986928,9.01603244541895
"MSK [255,239] 7/8",[239255],7/8,20112.9044117647,24525,0.804516176470588,9.11844304074294
"gMSK [255,239] 7/8",[239255],7/8,24947.3823529412,30420,0.997895294117647,9.55844304074294
MSK Uncoded,1,1,24525,24525,0.981,10.3830057194731
gMSK Uncoded,1,1,30420,30420,1.2168,10.8230057194731
"2FSK [255,223] 7/8",[223255],7/8,9382.83431372549,12262,0.37531337254902,11.0623197555561
"4FSK [255,223] 7/8",[223255],7/8,8960.44607843137,11710,0.358417843137255,11.1572849698919
"g2FSK [255,223] 7/8",[223255],7/8,16168.5931372549,21130,0.646743725490196,11.5023197555561
"MSK [255,239] 5/6",[239255],5/6,19155.1470588235,24525,0.766205882352941,11.5026231330281
"g4FSK [255,223] 7/8",[223255],7/8,29077.4509803922,38000,1.16309803921569,11.5972849698919
"MSK [255,223] 5/6",[223255],5/6,17872.7941176471,24525,0.714911764705882,11.6974631347367
"gMSK [255,239] 5/6",[239255],5/6,23759.4117647059,30420,0.950376470588235,11.9426231330281
"gMSK [255,223] 5/6",[223255],5/6,22168.8235294118,30420,0.886752941176471,12.1374631347367
"2FSK [255,239] 7/8",[239255],7/8,10056.0421568627,12262,0.40224168627451,12.1451648424729
"4FSK [255,239] 7/8",[239255],7/8,9603.34803921569,11710,0.384133921568627,12.2836998775804
"g2FSK [255,239] 7/8",[239255],7/8,17328.6715686275,21130,0.693146862745098,12.5851648424729
"g4FSK [255,239] 7/8",[239255],7/8,31163.7254901961,38000,1.24654901960784,12.7236998775804
2FSK Uncoded,1,1,12262,12262,0.49048,13.2778166830468
4FSK Uncoded,1,1,11710,11710,0.4684,13.5955155501059
g2FSK Uncoded,1,1,21130,21130,0.8452,13.7178166830468
g4FSK Uncoded,1,1,38000,38000,1.52,14.0355155501059
"4FSK [255,223] 3/4",[223255],3/4,7680.38235294118,11710,0.307215294117647,14.4355475033287
"4FSK [255,239] 3/4",[239255],3/4,8231.44117647059,11710,0.329257647058823,14.4486405049492
"2FSK [255,239] 5/6",[239255],5/6,9577.18300653595,12262,0.383087320261438,14.5817615882422
"4FSK [255,223] 5/6",[223255],5/6,8533.75816993464,11710,0.341350326797386,14.6915962474065
"2FSK [255,223] 5/6",[223255],5/6,8936.03267973856,12262,0.357441307189542,14.7883344393619
"g4FSK [255,223] 3/4",[223255],3/4,24923.5294117647,38000,0.996941176470588,14.8755475033287
"g4FSK [255,239] 3/4",[239255],3/4,26711.7647058823,38000,1.06847058823529,14.8886405049492
"4FSK [255,239] 5/6",[239255],5/6,9146.04575163399,11710,0.365841830065359,14.9462650833545
"g2FSK [255,239] 5/6",[239255],5/6,16503.4967320261,21130,0.660139869281046,15.0217615882422
"g4FSK [255,223] 5/6",[223255],5/6,27692.8104575163,38000,1.10771241830065,15.1315962474065
"g2FSK [255,223] 5/6",[223255],5/6,15398.660130719,21130,0.615946405228758,15.2283344393619
"g4FSK [255,239] 5/6",[239255],5/6,29679.7385620915,38000,1.18718954248366,15.3862650833545
"2FSK [255,223] 3/4",[223255],3/4,8042.42941176471,12262,0.321697176470588,NaN
"g2FSK [255,223] 3/4",[223255],3/4,13858.7941176471,21130,0.554351764705882,NaN
"2FSK [255,239] 3/4",[239255],3/4,8619.46470588235,12262,0.344778588235294,NaN
"g2FSK [255,239] 3/4",[239255],3/4,14853.1470588235,21130,0.594125882352941,NaN
