EBNO,Mod,RateRS,RateConv,BerEst
-10,2FSK,[223 255],'1/2',0.496917040358744
-9.9,2FSK,[223 255],'1/2',0
-9.8,2FSK,[223 255],'1/2',0.492432735426009
-9.7,2FSK,[223 255],'1/2',0
-9.6,2FSK,[223 255],'1/2',0.506165919282511
-9.5,2FSK,[223 255],'1/2',0
-9.4,2FSK,[223 255],'1/2',0.496076233183857
-9.3,2FSK,[223 255],'1/2',0
-9.2,2FSK,[223 255],'1/2',0.502242152466368
-9.1,2FSK,[223 255],'1/2',0
-9,2FSK,[223 255],'1/2',0.500280269058296
-8.9,2FSK,[223 255],'1/2',0
-8.8,2FSK,[223 255],'1/2',0.505325112107623
-8.7,2FSK,[223 255],'1/2',0
-8.6,2FSK,[223 255],'1/2',0.494114349775785
-8.5,2FSK,[223 255],'1/2',0
-8.4,2FSK,[223 255],'1/2',0.496356502242152
-8.3,2FSK,[223 255],'1/2',0
-8.2,2FSK,[223 255],'1/2',0.493553811659193
-8.1,2FSK,[223 255],'1/2',0
-8,2FSK,[223 255],'1/2',0.495235426008969
-7.9,2FSK,[223 255],'1/2',0
-7.8,2FSK,[223 255],'1/2',0.480661434977578
-7.7,2FSK,[223 255],'1/2',0
-7.6,2FSK,[223 255],'1/2',0.506446188340807
-7.5,2FSK,[223 255],'1/2',0
-7.4,2FSK,[223 255],'1/2',0.501121076233184
-7.3,2FSK,[223 255],'1/2',0
-7.2,2FSK,[223 255],'1/2',0.485986547085202
-7.1,2FSK,[223 255],'1/2',0
-7,2FSK,[223 255],'1/2',0.497477578475336
-6.9,2FSK,[223 255],'1/2',0
-6.8,2FSK,[223 255],'1/2',0.491591928251121
-6.7,2FSK,[223 255],'1/2',0
-6.6,2FSK,[223 255],'1/2',0.495235426008969
-6.5,2FSK,[223 255],'1/2',0
-6.4,2FSK,[223 255],'1/2',0.494674887892377
-6.3,2FSK,[223 255],'1/2',0
-6.2,2FSK,[223 255],'1/2',0.495515695067265
-6.1,2FSK,[223 255],'1/2',0
-6,2FSK,[223 255],'1/2',0.480661434977578
-5.9,2FSK,[223 255],'1/2',0
-5.8,2FSK,[223 255],'1/2',0.489349775784753
