EBNO,Mod,RateRS,RateConv,BerEst
-10,MSK,[223 255],'1/2',0.496636771300448
-9.9,MSK,[223 255],'1/2',0
-9.8,MSK,[223 255],'1/2',0.505325112107623
-9.7,MSK,[223 255],'1/2',0
-9.6,MSK,[223 255],'1/2',0.510930493273543
-9.5,MSK,[223 255],'1/2',0
-9.4,MSK,[223 255],'1/2',0.491311659192825
-9.3,MSK,[223 255],'1/2',0
-9.2,MSK,[223 255],'1/2',0.491591928251121
-9.1,MSK,[223 255],'1/2',0
-9,MSK,[223 255],'1/2',0.498878923766816
-8.9,MSK,[223 255],'1/2',0
-8.8,MSK,[223 255],'1/2',0.5
-8.7,MSK,[223 255],'1/2',0
-8.6,MSK,[223 255],'1/2',0.503082959641256
-8.5,MSK,[223 255],'1/2',0
-8.4,MSK,[223 255],'1/2',0.499159192825112
-8.3,MSK,[223 255],'1/2',0
-8.2,MSK,[223 255],'1/2',0.502242152466368
-8.1,MSK,[223 255],'1/2',0
-8,MSK,[223 255],'1/2',0.486547085201794
-7.9,MSK,[223 255],'1/2',0
-7.8,MSK,[223 255],'1/2',0.48822869955157
-7.7,MSK,[223 255],'1/2',0
-7.6,MSK,[223 255],'1/2',0.505325112107623
-7.5,MSK,[223 255],'1/2',0
-7.4,MSK,[223 255],'1/2',0.498878923766816
-7.3,MSK,[223 255],'1/2',0
-7.2,MSK,[223 255],'1/2',0.481502242152466
-7.1,MSK,[223 255],'1/2',0
-7,MSK,[223 255],'1/2',0.502242152466368
-6.9,MSK,[223 255],'1/2',0
-6.8,MSK,[223 255],'1/2',0.49719730941704
-6.7,MSK,[223 255],'1/2',0
-6.6,MSK,[223 255],'1/2',0.485706278026906
-6.5,MSK,[223 255],'1/2',0
-6.4,MSK,[223 255],'1/2',0.485145739910314
-6.3,MSK,[223 255],'1/2',0
-6.2,MSK,[223 255],'1/2',0.512612107623318
-6.1,MSK,[223 255],'1/2',0
-6,MSK,[223 255],'1/2',0.512051569506726
-5.9,MSK,[223 255],'1/2',0
-5.8,MSK,[223 255],'1/2',0.488789237668161
-5.7,MSK,[223 255],'1/2',0
-5.6,MSK,[223 255],'1/2',0.48682735426009
-5.5,MSK,[223 255],'1/2',0
-5.4,MSK,[223 255],'1/2',0.473094170403587
-5.3,MSK,[223 255],'1/2',0
-5.2,MSK,[223 255],'1/2',0.480661434977578
-5.1,MSK,[223 255],'1/2',0
-5,MSK,[223 255],'1/2',0.458520179372197
-4.9,MSK,[223 255],'1/2',0
-4.8,MSK,[223 255],'1/2',0.459360986547085
-4.7,MSK,[223 255],'1/2',0
-4.6,MSK,[223 255],'1/2',0.473934977578475
-4.5,MSK,[223 255],'1/2',0
-4.4,MSK,[223 255],'1/2',0.435257847533632
-4.3,MSK,[223 255],'1/2',0
-4.2,MSK,[223 255],'1/2',0.431053811659193
-4.1,MSK,[223 255],'1/2',0
-4,MSK,[223 255],'1/2',0.436659192825112
-3.9,MSK,[223 255],'1/2',0
-3.8,MSK,[223 255],'1/2',0.454316143497758
-3.7,MSK,[223 255],'1/2',0
-3.6,MSK,[223 255],'1/2',0.406390134529148
-3.5,MSK,[223 255],'1/2',0
-3.4,MSK,[223 255],'1/2',0.405269058295964
-3.3,MSK,[223 255],'1/2',0
-3.2,MSK,[223 255],'1/2',0.381165919282511
-3.1,MSK,[223 255],'1/2',0
-3,MSK,[223 255],'1/2',0.410033632286996
-2.9,MSK,[223 255],'1/2',0
-2.8,MSK,[223 255],'1/2',0.381726457399103
-2.7,MSK,[223 255],'1/2',0
-2.6,MSK,[223 255],'1/2',0.366591928251121
-2.5,MSK,[223 255],'1/2',0
-2.4,MSK,[223 255],'1/2',0.313060538116592
-2.3,MSK,[223 255],'1/2',0
-2.2,MSK,[223 255],'1/2',0.270366218236173
-2.1,MSK,[223 255],'1/2',0
-2,MSK,[223 255],'1/2',0.246076233183856
-1.9,MSK,[223 255],'1/2',0
-1.8,MSK,[223 255],'1/2',0.274663677130045
-1.7,MSK,[223 255],'1/2',0
-1.6,MSK,[223 255],'1/2',0.189041479820628
-1.5,MSK,[223 255],'1/2',0
-1.4,MSK,[223 255],'1/2',0.203335201793722
-1.3,MSK,[223 255],'1/2',0
-1.2,MSK,[223 255],'1/2',0.141367713004484
-1.1,MSK,[223 255],'1/2',0
-1,MSK,[223 255],'1/2',0.12847533632287
-0.9,MSK,[223 255],'1/2',0
-0.799999999999999,MSK,[223 255],'1/2',0.0912075592568866
-0.699999999999999,MSK,[223 255],'1/2',0
-0.6,MSK,[223 255],'1/2',0.0751821748878924
-0.5,MSK,[223 255],'1/2',0
-0.399999999999999,MSK,[223 255],'1/2',0.0562219730941704
-0.299999999999999,MSK,[223 255],'1/2',0
-0.199999999999999,MSK,[223 255],'1/2',0.0426008968609865
-0.0999999999999996,MSK,[223 255],'1/2',0
0,MSK,[223 255],'1/2',0.0305773542600897
0.100000000000001,MSK,[223 255],'1/2',0
0.200000000000001,MSK,[223 255],'1/2',0.0160586595564174
0.300000000000001,MSK,[223 255],'1/2',0
0.4,MSK,[223 255],'1/2',0.00553064275037369
0.5,MSK,[223 255],'1/2',0
