EBNO,Mod,RateRS,RateConv,BerEst
-10,2FSK,[223 255],'1/2',0.496917040358744
-9.8,2FSK,[223 255],'1/2',0.492432735426009
-9.6,2FSK,[223 255],'1/2',0.506165919282511
-9.4,2FSK,[223 255],'1/2',0.496076233183857
-9.2,2FSK,[223 255],'1/2',0.502242152466368
-9,2FSK,[223 255],'1/2',0.500280269058296
-8.8,2FSK,[223 255],'1/2',0.505325112107623
-8.6,2FSK,[223 255],'1/2',0.494114349775785
-8.4,2FSK,[223 255],'1/2',0.496356502242152
-8.2,2FSK,[223 255],'1/2',0.493553811659193
-8,2FSK,[223 255],'1/2',0.495235426008969
-7.8,2FSK,[223 255],'1/2',0.480661434977578
-7.6,2FSK,[223 255],'1/2',0.506446188340807
-7.4,2FSK,[223 255],'1/2',0.501121076233184
-7.2,2FSK,[223 255],'1/2',0.485986547085202
-7,2FSK,[223 255],'1/2',0.497477578475336
-6.8,2FSK,[223 255],'1/2',0.491591928251121
-6.6,2FSK,[223 255],'1/2',0.495235426008969
-6.4,2FSK,[223 255],'1/2',0.494674887892377
-6.2,2FSK,[223 255],'1/2',0.495515695067265
-6,2FSK,[223 255],'1/2',0.480661434977578
-5.8,2FSK,[223 255],'1/2',0.489349775784753
-5.6,2FSK,[223 255],'1/2',0.494955156950673
-5.4,2FSK,[223 255],'1/2',0.496917040358744
-5.2,2FSK,[223 255],'1/2',0.474215246636771
-5,2FSK,[223 255],'1/2',0.493273542600897
-4.8,2FSK,[223 255],'1/2',0.485986547085202
-4.6,2FSK,[223 255],'1/2',0.494955156950673
-4.4,2FSK,[223 255],'1/2',0.490470852017937
-4.2,2FSK,[223 255],'1/2',0.5
-4,2FSK,[223 255],'1/2',0.494674887892377
-3.8,2FSK,[223 255],'1/2',0.506446188340807
-3.6,2FSK,[223 255],'1/2',0.481782511210762
-3.4,2FSK,[223 255],'1/2',0.496076233183857
-3.2,2FSK,[223 255],'1/2',0.50140134529148
-3,2FSK,[223 255],'1/2',0.505325112107623
-2.8,2FSK,[223 255],'1/2',0.499439461883408
-2.6,2FSK,[223 255],'1/2',0.484585201793722
-2.4,2FSK,[223 255],'1/2',0.461322869955157
-2.2,2FSK,[223 255],'1/2',0.445908071748879
-2,2FSK,[223 255],'1/2',0.457959641255605
-1.8,2FSK,[223 255],'1/2',0.474495515695067
-1.6,2FSK,[223 255],'1/2',0.449831838565022
-1.4,2FSK,[223 255],'1/2',0.446468609865471
-1.2,2FSK,[223 255],'1/2',0.461603139013453
-1,2FSK,[223 255],'1/2',0.434136771300448
-0.799999999999999,2FSK,[223 255],'1/2',0.42572869955157
-0.6,2FSK,[223 255],'1/2',0.389293721973094
-0.399999999999999,2FSK,[223 255],'1/2',0.354820627802691
-0.199999999999999,2FSK,[223 255],'1/2',0.399383408071749
0,2FSK,[223 255],'1/2',0.383968609865471
0.200000000000001,2FSK,[223 255],'1/2',0.335201793721973
0.4,2FSK,[223 255],'1/2',0.343609865470852
